invoice_id,invoice_date,due_date,vendor,vendor_country,recipient,recipient_country,currency,line_number,line_description,line_quantity,line_unit_price,line_amount,line_vat_rate,subtotal,discount_type,discount_value,discount_amount,vat_rate,vat_amount,total,payment_terms,consistency,consistency_note,source_file
INV-2026-0002,2026-04-10,2026-05-10,ACME Laboratories International S.A.,FR,Europäische Verwaltungskontor AG,AT,EUR,4,Retainer fee — ongoing counsel,10,457.30,4573.00,0.20,155350.70,percentage,0.02,3107.01,0.20,31070.14,183313.83,Net 30 days,total_error,Displayed total 188813.24 differs from computed total 183313.83 by +5499.41 (+3.00%).,INV-2026-0002.pdf
INV-2026-0002,2026-04-10,2026-05-10,ACME Laboratories International S.A.,FR,Europäische Verwaltungskontor AG,AT,EUR,5,Cloud infrastructure migration — Phase 2 of 7 (estimated),1,944.00,944.00,0.20,155350.70,percentage,0.02,3107.01,0.20,31070.14,183313.83,Net 30 days,total_error,Displayed total 188813.24 differs from computed total 183313.83 by +5499.41 (+3.00%).,INV-2026-0002.pdf
INV-2026-0002,2026-04-10,2026-05-10,ACME Laboratories International S.A.,FR,Europäische Verwaltungskontor AG,AT,EUR,6,Board meeting facilitation,100,326.50,32650.00,0.20,155350.70,percentage,0.02,3107.01,0.20,31070.14,183313.83,Net 30 days,total_error,Displayed total 188813.24 differs from computed total 183313.83 by +5499.41 (+3.00%).,INV-2026-0002.pdf
INV-2026-0003,2026-04-11,2026-05-11,Pearson Hardman,GB,Bergkristall Maschinenbau GmbH,DE,EUR,1,Cloud infrastructure migration — Phase 2 of 7 (estimated),1,11402.00,11402.00,0.20,82516.00,trade_terms,0.02,0.00,0.20,16503.20,99019.20,2/10 net 30,correct,,INV-2026-0003.pdf
INV-2026-0003,2026-04-11,2026-05-11,Pearson Hardman,GB,Bergkristall Maschinenbau GmbH,DE,EUR,2,Database optimisation retainer — March,100,368.70,36870.00,0.20,82516.00,trade_terms,0.02,0.00,0.20,16503.20,99019.20,2/10 net 30,correct,,INV-2026-0003.pdf
INV-2026-0003,2026-04-11,2026-05-11,Pearson Hardman,GB,Bergkristall Maschinenbau GmbH,DE,EUR,3,Retainer fee — ongoing counsel,1,24079.00,24079.00,0.20,82516.00,trade_terms,0.02,0.00,0.20,16503.20,99019.20,2/10 net 30,correct,,INV-2026-0003.pdf
INV-2026-0003,2026-04-11,2026-05-11,Pearson Hardman,GB,Bergkristall Maschinenbau GmbH,DE,EUR,4,Board meeting facilitation,2,5082.50,10165.00,0.20,82516.00,trade_terms,0.02,0.00,0.20,16503.20,99019.20,2/10 net 30,correct,,INV-2026-0003.pdf
INV-2026-0004,2026-02-23,2026-03-25,Vandelay Industries GmbH,AT,Mittelstand Digital Solutions GmbH,DE,EUR,1,Legal opinion — cross-border financing,1,6152.40,6152.40,0.20,185794.90,trade_terms,0.02,0.00,0.20,37158.98,222953.88,2/10 net 30,total_error,Displayed total 218494.80 differs from computed total 222953.88 by -4459.08 (-2.00%).,INV-2026-0004.pdf
INV-2026-0004,2026-02-23,2026-03-25,Vandelay Industries GmbH,AT,Mittelstand Digital Solutions GmbH,DE,EUR,2,Quarterly newsletter design,1,13741.10,13741.10,0.20,185794.90,trade_terms,0.02,0.00,0.20,37158.98,222953.88,2/10 net 30,total_error,Displayed total 218494.80 differs from computed total 222953.88 by -4459.08 (-2.00%).,INV-2026-0004.pdf
INV-2026-0004,2026-02-23,2026-03-25,Vandelay Industries GmbH,AT,Mittelstand Digital Solutions GmbH,DE,EUR,3,Software licence renewal — 50 seats,2,28410.10,56820.20,0.20,185794.90,trade_terms,0.02,0.00,0.20,37158.98,222953.88,2/10 net 30,total_error,Displayed total 218494.80 differs from computed total 222953.88 by -4459.08 (-2.00%).,INV-2026-0004.pdf
INV-2026-0004,2026-02-23,2026-03-25,Vandelay Industries GmbH,AT,Mittelstand Digital Solutions GmbH,DE,EUR,4,Strategic advisory — Q1 2026 (PowerPoints not included),3,36360.40,109081.20,0.20,185794.90,trade_terms,0.02,0.00,0.20,37158.98,222953.88,2/10 net 30,total_error,Displayed total 218494.80 differs from computed total 222953.88 by -4459.08 (-2.00%).,INV-2026-0004.pdf
INV-2026-0005,2026-03-04,2026-03-18,Initech Solutions GmbH,DE,Groupe Industriel Dufresne S.A.,FR,EUR,1,Quarterly newsletter design,2,30201.70,60403.40,0.20,60403.40,amount,1812.10,1812.10,0.20,12080.68,70671.98,Payable within 14 days,correct,,INV-2026-0005.pdf
